,year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_intensity
7956,2007,Pertamina,State-owned Entity,Natural Gas,405.7,Bcf/yr,29.571631369800013,0.07289039036184376
7957,2008,Pertamina,State-owned Entity,Oil & NGL,54.98,Million bbl/yr,21.924808770190385,0.3987778968750525
7958,2008,Pertamina,State-owned Entity,Natural Gas,426.53,Bcf/yr,31.089938201037217,0.07289039036184376
7959,2009,Pertamina,State-owned Entity,Oil & NGL,64.4,Million bbl/yr,25.681296558753388,0.39877789687505255
7960,2009,Pertamina,State-owned Entity,Natural Gas,502.05,Bcf/yr,36.594620481163666,0.07289039036184378
7961,2010,Pertamina,State-owned Entity,Oil & NGL,70.01,Million bbl/yr,27.918440560222432,0.39877789687505255
7962,2010,Pertamina,State-owned Entity,Natural Gas,532.85,Bcf/yr,38.839644504308446,0.07289039036184375
7963,2011,Pertamina,State-owned Entity,Oil & NGL,70.63,Million bbl/yr,28.165682856284967,0.39877789687505266
7964,2011,Pertamina,State-owned Entity,Natural Gas,558.6,Bcf/yr,40.716572056125926,0.07289039036184376
7965,2012,Pertamina,State-owned Entity,Oil & NGL,71.76,Million bbl/yr,28.616301879753777,0.3987778968750526
7966,2012,Pertamina,State-owned Entity,Natural Gas,563.15,Bcf/yr,41.048223332272315,0.07289039036184376
7967,2013,Pertamina,State-owned Entity,Oil & NGL,73.55,Million bbl/yr,29.330114315160117,0.3987778968750526
7968,2013,Pertamina,State-owned Entity,Natural Gas,557.67,Bcf/yr,40.648783993089395,0.07289039036184373
7969,2014,Pertamina,State-owned Entity,Oil & NGL,98.55,Million bbl/yr,39.299561737036434,0.3987778968750526
7970,2014,Pertamina,State-owned Entity,Natural Gas,588.745,Bcf/yr,42.91385287358369,0.07289039036184373
7971,2015,Pertamina,State-owned Entity,Oil & NGL,101.47,Million bbl/yr,40.46399319591159,0.39877789687505266
7972,2015,Pertamina,State-owned Entity,Natural Gas,694.23,Bcf/yr,50.6026957009028,0.07289039036184376
7973,2016,Pertamina,State-owned Entity,Oil & NGL,113.88,Million bbl/yr,45.412826896130994,0.39877789687505266
7974,2016,Pertamina,State-owned Entity,Natural Gas,715.765,Bcf/yr,52.172390257345086,0.07289039036184375
7975,2017,Pertamina,State-owned Entity,Oil & NGL,124.83,Million bbl/yr,49.7794448669128,0.39877789687505244
7976,2017,Pertamina,State-owned Entity,Natural Gas,742.775,Bcf/yr,54.141159701018495,0.07289039036184376
7977,2018,Pertamina,State-owned Entity,Oil & NGL,143.445,Million bbl/yr,57.20269541724191,0.39877789687505255
7978,2018,Pertamina,State-owned Entity,Natural Gas,1116.535,Bcf/yr,81.38467200266122,0.07289039036184375
7979,2019,Pertamina,State-owned Entity,Oil & NGL,150.9932,Million bbl/yr,60.212750738434195,0.3987778968750526
7980,2019,Pertamina,State-owned Entity,Natural Gas,1030.1979,Bcf/yr,75.09152708095166,0.07289039036184375
7981,2020,Pertamina,State-owned Entity,Oil & NGL,149.09155,Million bbl/yr,59.45441475084176,0.3987778968750526
7982,2020,Pertamina,State-owned Entity,Natural Gas,961.5852,Bcf/yr,70.09032059417159,0.07289039036184375
7983,2021,Pertamina,State-owned Entity,Oil & NGL,162.5345,Million bbl/yr,64.81516607963823,0.39877789687505255
7984,2021,Pertamina,State-owned Entity,Natural Gas,954.4604,Bcf/yr,69.57099114092152,0.07289039036184373
7985,2022,Pertamina,State-owned Entity,Oil & NGL,187.7706,Million bbl/yr,74.87876496296677,0.3987778968750527
7986,2022,Pertamina,State-owned Entity,Natural Gas,957.81475,Bcf/yr,69.81549102183178,0.07289039036184375
7987,1999,Petoro,State-owned Entity,Oil & NGL,438.0,Million bbl/yr,174.66471883127303,0.3987778968750526
7988,1999,Petoro,State-owned Entity,Natural Gas,832.1999999999998,Bcf/yr,60.65938285912637,0.07289039036184376
7989,2000,Petoro,State-owned Entity,Oil & NGL,445.3,Million bbl/yr,177.5757974784609,0.39877789687505255
7990,2000,Petoro,State-owned Entity,Natural Gas,869.43,Bcf/yr,63.37309209229781,0.07289039036184375
7991,2001,Petoro,State-owned Entity,Oil & NGL,419.75,Million bbl/yr,167.3870222133033,0.39877789687505255
7992,2001,Petoro,State-owned Entity,Natural Gas,799.35,Bcf/yr,58.2649335357398,0.07289039036184375
7993,2002,Petoro,State-owned Entity,Oil & NGL,350.4,Million bbl/yr,139.7317750650184,0.39877789687505255
7994,2002,Petoro,State-owned Entity,Natural Gas,843.15,Bcf/yr,61.45753263358856,0.07289039036184376
7995,2003,Petoro,State-owned Entity,Oil & NGL,346.75,Million bbl/yr,138.2762357414245,0.3987778968750526
7996,2003,Petoro,State-owned Entity,Natural Gas,893.52,Bcf/yr,65.12902159611464,0.07289039036184376
7997,2004,Petoro,State-owned Entity,Oil & NGL,323.39,Million bbl/yr,128.96078407042324,0.39877789687505255
7998,2004,Petoro,State-owned Entity,Natural Gas,902.2897422,Bcf/yr,65.76825152844536,0.07289039036184375
7999,2005,Petoro,State-owned Entity,Oil & NGL,287.62,Million bbl/yr,114.69649869920264,0.3987778968750526
8000,2005,Petoro,State-owned Entity,Natural Gas,928.06944912,Bcf/yr,67.64734442925808,0.07289039036184375
8001,2006,Petoro,State-owned Entity,Oil & NGL,263.895,Million bbl/yr,105.235493095842,0.3987778968750526
8002,2006,Petoro,State-owned Entity,Natural Gas,966.7390095,Bcf/yr,70.46598378047717,0.07289039036184375
8003,2007,Petoro,State-owned Entity,Oil & NGL,241.265,Million bbl/yr,96.21114928955956,0.3987778968750526
8004,2007,Petoro,State-owned Entity,Natural Gas,1108.52739756,Bcf/yr,80.80099473494715,0.07289039036184373
8005,2008,Petoro,State-owned Entity,Oil & NGL,221.555,Million bbl/yr,88.35123694215228,0.3987778968750526
8006,2008,Petoro,State-owned Entity,Natural Gas,1108.52739756,Bcf/yr,80.80099473494715,0.07289039036184373
8007,2009,Petoro,State-owned Entity,Oil & NGL,196.005,Million bbl/yr,78.16246167699468,0.3987778968750526
8008,2009,Petoro,State-owned Entity,Natural Gas,1095.6375441,Bcf/yr,79.8614482845408,0.07289039036184375
8009,2010,Petoro,State-owned Entity,Oil & NGL,171.54999999999998,Million bbl/yr,68.41034820891528,0.39877789687505266
8010,2010,Petoro,State-owned Entity,Natural Gas,1250.31578562,Bcf/yr,91.13600568941715,0.07289039036184375
8011,2011,Petoro,State-owned Entity,Oil & NGL,160.6,Million bbl/yr,64.04373023813343,0.39877789687505255
8012,2011,Petoro,State-owned Entity,Natural Gas,1185.8665183199998,Bcf/yr,86.43827343738533,0.07289039036184376
8013,2012,Petoro,State-owned Entity,Oil & NGL,156.95,Million bbl/yr,62.588190914539496,0.39877789687505255
8014,2012,Petoro,State-owned Entity,Natural Gas,1443.66358752,Bcf/yr,105.22920244551256,0.07289039036184373
8015,2013,Petoro,State-owned Entity,Oil & NGL,150.745,Million bbl/yr,60.113774064429805,0.3987778968750526
8016,2013,Petoro,State-owned Entity,Natural Gas,1276.09549254,Bcf/yr,93.01509859022988,0.07289039036184376
8017,2014,Petoro,State-owned Entity,Oil & NGL,148.555,Million bbl/yr,59.24045047027344,0.39877789687505255
8018,2014,Petoro,State-owned Entity,Natural Gas,1211.64622524,Bcf/yr,88.31736633819807,0.07289039036184376
8019,2015,Petoro,State-owned Entity,Oil & NGL,150.015,Million bbl/yr,59.82266619971101,0.3987778968750526
8020,2015,Petoro,State-owned Entity,Natural Gas,1353.4346133,Bcf/yr,98.65237729266804,0.07289039036184375
8021,2016,Petoro,State-owned Entity,Oil & NGL,149.285,Million bbl/yr,59.531558334992226,0.3987778968750526
8022,2016,Petoro,State-owned Entity,Natural Gas,1288.985346,Bcf/yr,93.95464504063624,0.07289039036184376
8023,2017,Petoro,State-owned Entity,Oil & NGL,145.27,Million bbl/yr,57.93046507903889,0.39877789687505255
8024,2017,Petoro,State-owned Entity,Natural Gas,1456.55344098,Bcf/yr,106.16874889591894,0.07289039036184375
8025,2018,Petoro,State-owned Entity,Oil & NGL,135.04999999999998,Million bbl/yr,53.85495497297585,0.3987778968750526
8026,2018,Petoro,State-owned Entity,Natural Gas,1456.55344098,Bcf/yr,106.16874889591894,0.07289039036184375
8027,2019,Petoro,State-owned Entity,Oil & NGL,127.385,Million bbl/yr,50.79832239342857,0.39877789687505255
8028,2019,Petoro,State-owned Entity,Natural Gas,1263.20563908,Bcf/yr,92.0755521398235,0.07289039036184373
8029,2020,Petoro,State-owned Entity,Oil & NGL,136.51,Million bbl/yr,54.43717070241343,0.39877789687505266
8030,2020,Petoro,State-owned Entity,Natural Gas,1263.20563908,Bcf/yr,92.0755521398235,0.07289039036184373
8031,2021,Petoro,State-owned Entity,Oil & NGL,141.62,Million bbl/yr,56.47492575544496,0.39877789687505266
8032,2021,Petoro,State-owned Entity,Natural Gas,1301.87519946,Bcf/yr,94.89419149104259,0.07289039036184375
8033,2022,Petoro,State-owned Entity,Oil & NGL,131.035,Million bbl/yr,52.25386171702251,0.39877789687505255
8034,2022,Petoro,State-owned Entity,Natural Gas,1404.9940271399998,Bcf/yr,102.41056309429348,0.07289039036184375
8035,1954,Petrobras,State-owned Entity,Oil & NGL,0.9719585,Million bbl/yr,0.3875955664798308,0.3987778968750526
8036,1954,Petrobras,State-owned Entity,Natural Gas,2.2363895753099996,Bcf/yr,0.1630113091455038,0.07289039036184373
8037,1955,Petrobras,State-owned Entity,Oil & NGL,2.00093,Million bbl/yr,0.7979266571941989,0.39877789687505255
8038,1955,Petrobras,State-owned Entity,Natural Gas,2.18483016147,Bcf/yr,0.1592531233438784,0.07289039036184375
8039,1956,Petrobras,State-owned Entity,Oil & NGL,3.986092,Million bbl/yr,1.589565384510472,0.39877789687505255
8040,1956,Petrobras,State-owned Entity,Natural Gas,2.9543544130319996,Bcf/yr,0.2153440464331382,0.07289039036184375
8041,1957,Petrobras,State-owned Entity,Oil & NGL,9.9638795,Million bbl/yr,3.9733749117264496,0.39877789687505255
8042,1957,Petrobras,State-owned Entity,Natural Gas,5.596774372332,Bcf/yr,0.4079510687664425,0.07289039036184375
8043,1958,Petrobras,State-owned Entity,Oil & NGL,18.6633625,Million bbl/yr,7.442536446366724,0.39877789687505255
8044,1958,Petrobras,State-owned Entity,Natural Gas,10.610927368272,Bcf/yr,0.7734346379745175,0.07289039036184376
8045,1959,Petrobras,State-owned Entity,Oil & NGL,23.3456555,Million bbl/yr,9.309731401459503,0.39877789687505255
8046,1959,Petrobras,State-owned Entity,Natural Gas,15.135265932732,Bcf/yr,1.1032154420671505,0.07289039036184373
8047,1960,Petrobras,State-owned Entity,Oil & NGL,29.295192,Million bbl/yr,11.682275054310864,0.39877789687505255
8048,1960,Petrobras,State-owned Entity,Natural Gas,18.837231846444,Bcf/yr,1.3730531826238577,0.07289039036184375
8049,1961,Petrobras,State-owned Entity,Oil & NGL,34.639449,Million bbl/yr,13.813446621130645,0.3987778968750526
8050,1961,Petrobras,State-owned Entity,Natural Gas,18.60650346951,Bcf/yr,1.356235301161584,0.07289039036184375
8051,1962,Petrobras,State-owned Entity,Oil & NGL,33.182405499999994,Million bbl/yr,13.232409878545177,0.3987778968750526
8052,1962,Petrobras,State-owned Entity,Natural Gas,18.010992239658,Bcf/yr,1.31282825515281,0.07289039036184376
8053,1963,Petrobras,State-owned Entity,Oil & NGL,35.6771805,Million bbl/yr,14.227271006221638,0.39877789687505266
8054,1963,Petrobras,State-owned Entity,Natural Gas,16.314687524322,Bcf/yr,1.1891839422793329,0.07289039036184375
8055,1964,Petrobras,State-owned Entity,Oil & NGL,33.194559999999996,Million bbl/yr,13.237256824492745,0.3987778968750526
8056,1964,Petrobras,State-owned Entity,Natural Gas,17.256935812248,Bcf/yr,1.257864787804038,0.07289039036184376
8057,1965,Petrobras,State-owned Entity,Oil & NGL,34.305693,Million bbl/yr,13.680352105381214,0.3987778968750526
8058,1965,Petrobras,State-owned Entity,Natural Gas,23.196580286616,Bcf/yr,1.6908077921512896,0.07289039036184375
8059,1966,Petrobras,State-owned Entity,Oil & NGL,42.403108499999995,Million bbl/yr,16.909422428594667,0.39877789687505266
8060,1966,Petrobras,State-owned Entity,Natural Gas,26.642038116474,Bcf/yr,1.9419485583449103,0.07289039036184375
8061,1967,Petrobras,State-owned Entity,Oil & NGL,53.3412825,Million bbl/yr,21.27132445196805,0.3987778968750526
8062,1967,Petrobras,State-owned Entity,Natural Gas,30.289866645654,Bcf/yr,2.2078402038099108,0.07289039036184375
8063,1968,Petrobras,State-owned Entity,Oil & NGL,58.484241999999995,Million bbl/yr,23.322223025091617,0.3987778968750526
8064,1968,Petrobras,State-owned Entity,Natural Gas,33.549710585688,Bcf/yr,2.4454515011176796,0.07289039036184375
8065,1969,Petrobras,State-owned Entity,Oil & NGL,62.85256199999999,Million bbl/yr,25.064212487568845,0.3987778968750526
8066,1969,Petrobras,State-owned Entity,Natural Gas,42.817515223428,Bcf/yr,3.120985398959854,0.07289039036184373
8067,1970,Petrobras,State-owned Entity,Oil & NGL,59.89212,Million bbl/yr,23.883653652988272,0.39877789687505255
8068,1970,Petrobras,State-owned Entity,Natural Gas,43.304751684215994,Bcf/yr,3.1565002547852146,0.07289039036184375
8069,1971,Petrobras,State-owned Entity,Oil & NGL,62.125263,Million bbl/yr,24.77418172194952,0.3987778968750526
8070,1971,Petrobras,State-owned Entity,Natural Gas,39.824491250016,Bcf/yr,2.902822713175497,0.07289039036184375
8071,1972,Petrobras,State-owned Entity,Oil & NGL,60.763229,Million bbl/yr,24.231032667957205,0.39877789687505255
8072,1972,Petrobras,State-owned Entity,Natural Gas,41.625203778377994,Bcf/yr,3.0340773522972646,0.07289039036184373
8073,1973,Petrobras,State-owned Entity,Oil & NGL,62.0693085,Million bbl/yr,24.751868304118823,0.39877789687505255
8074,1973,Petrobras,State-owned Entity,Natural Gas,39.667235037804,Bcf/yr,2.8913602464805397,0.07289039036184376
8075,1974,Petrobras,State-owned Entity,Oil & NGL,64.6237245,Million bbl/yr,25.770512944342805,0.39877789687505255
8076,1974,Petrobras,State-owned Entity,Natural Gas,50.153130827514,Bcf/yr,3.655681283886115,0.07289039036184375
8077,1975,Petrobras,State-owned Entity,Oil & NGL,62.592025,Million bbl/yr,24.96031609065071,0.39877789687505255
8078,1975,Petrobras,State-owned Entity,Natural Gas,54.692937216126,Bcf/yr,3.986589543719236,0.07289039036184375
8079,1976,Petrobras,State-owned Entity,Oil & NGL,60.663438,Million bbl/yr,24.191238222850146,0.3987778968750526
8080,1976,Petrobras,State-owned Entity,Natural Gas,55.131192233765994,Bcf/yr,4.018534123033052,0.07289039036184375
8081,1977,Petrobras,State-owned Entity,Oil & NGL,58.2408965,Million bbl/yr,23.225182218387612,0.3987778968750526
8082,1977,Petrobras,State-owned Entity,Natural Gas,61.069547722787995,Bcf/yr,4.451383172735262,0.07289039036184373
8083,1978,Petrobras,State-owned Entity,Oil & NGL,58.467488499999995,Million bbl/yr,23.315542099596325,0.39877789687505266
8084,1978,Petrobras,State-owned Entity,Natural Gas,65.42245123622999,Bcf/yr,4.7686680090374916,0.07289039036184376
8085,1979,Petrobras,State-owned Entity,Oil & NGL,60.371438,Million bbl/yr,24.074795076962634,0.39877789687505266
8086,1979,Petrobras,State-owned Entity,Natural Gas,64.400285856852,Bcf/yr,4.6941619755202675,0.07289039036184376
8087,1980,Petrobras,State-owned Entity,Oil & NGL,66.074417,Million bbl/yr,26.349017048505218,0.39877789687505255
8088,1980,Petrobras,State-owned Entity,Natural Gas,74.866846866372,Bcf/yr,5.4570736932502335,0.07289039036184375
8089,1981,Petrobras,State-owned Entity,Oil & NGL,77.7767915,Million bbl/yr,31.015665340059464,0.39877789687505255
8090,1981,Petrobras,State-owned Entity,Natural Gas,84.601264199364,Bcf/yr,6.16661917259712,0.07289039036184376
8091,1982,Petrobras,State-owned Entity,Oil & NGL,94.6631515,Million bbl/yr,37.749572466734485,0.39877789687505266
8092,1982,Petrobras,State-owned Entity,Natural Gas,104.45292751311,Bcf/yr,7.613614660867957,0.07289039036184375
8093,1983,Petrobras,State-owned Entity,Oil & NGL,120.059888,Million bbl/yr,47.87722963569437,0.39877789687505266
8094,1983,Petrobras,State-owned Entity,Natural Gas,141.75358545565797,Bcf/yr,10.332474179053886,0.07289039036184375
8095,1984,Petrobras,State-owned Entity,Oil & NGL,170.6433035,Million bbl/yr,68.04877768554131,0.39877789687505266
8096,1984,Petrobras,State-owned Entity,Natural Gas,172.622206521666,Bcf/yr,12.582500018487046,0.07289039036184376
8097,1985,Petrobras,State-owned Entity,Oil & NGL,203.223532,Million bbl/yr,81.04105268647993,0.3987778968750525
8098,1985,Petrobras,State-owned Entity,Natural Gas,187.378510762674,Bcf/yr,13.658092794912246,0.07289039036184373
8099,1986,Petrobras,State-owned Entity,Oil & NGL,215.14019799999997,Million bbl/yr,85.79315569172239,0.3987778968750526
8100,1986,Petrobras,State-owned Entity,Natural Gas,198.283326789834,Bcf/yr,14.45294909195603,0.07289039036184375
8101,1987,Petrobras,State-owned Entity,Oil & NGL,214.7544295,Million bbl/yr,85.63931974061178,0.3987778968750528
8102,1987,Petrobras,State-owned Entity,Natural Gas,203.823385806942,Bcf/yr,14.856766156340685,0.07289039036184375
8103,1988,Petrobras,State-owned Entity,Oil & NGL,210.641427,Million bbl/yr,83.99914525381992,0.3987778968750526
8104,1988,Petrobras,State-owned Entity,Natural Gas,199.445991571926,Bcf/yr,14.537696181782684,0.07289039036184375
8105,1989,Petrobras,State-owned Entity,Oil & NGL,225.1480235,Million bbl/yr,89.78405529690491,0.39877789687505255
8106,1989,Petrobras,State-owned Entity,Natural Gas,209.398247428392,Bcf/yr,15.263119996141436,0.07289039036184373
8107,1990,Petrobras,State-owned Entity,Oil & NGL,238.57407399999997,Million bbl/yr,95.13806747863315,0.39877789687505255
8108,1990,Petrobras,State-owned Entity,Natural Gas,210.42041280777,Bcf/yr,15.33762602965866,0.07289039036184375
8109,1991,Petrobras,State-owned Entity,Oil & NGL,236.0562675,Million bbl/yr,94.13402189782484,0.39877789687505266
8110,1991,Petrobras,State-owned Entity,Natural Gas,221.13832595976,Bcf/yr,16.11885890317155,0.07289039036184373
8111,1992,Petrobras,State-owned Entity,Oil & NGL,238.3816825,Million bbl/yr,95.06134600088653,0.39877789687505255
8112,1992,Petrobras,State-owned Entity,Natural Gas,234.212504324238,Bcf/yr,17.071840867818725,0.07289039036184375
8113,1993,Petrobras,State-owned Entity,Oil & NGL,243.9262515,Million bbl/yr,97.27239756578513,0.3987778968750525
8114,1993,Petrobras,State-owned Entity,Natural Gas,248.927561034174,Bcf/yr,18.144427095602634,0.07289039036184378
8115,1994,Petrobras,State-owned Entity,Oil & NGL,252.88375299999996,Million bbl/yr,100.84445117521024,0.39877789687505255
8116,1994,Petrobras,State-owned Entity,Natural Gas,261.643401472464,Bcf/yr,19.071289668928507,0.07289039036184376
8117,1995,Petrobras,State-owned Entity,Oil & NGL,261.3985825,Million bbl/yr,104.23997697546992,0.3987778968750526
8118,1995,Petrobras,State-owned Entity,Natural Gas,274.494585372084,Bcf/yr,20.008017479983646,0.07289039036184375
8119,1996,Petrobras,State-owned Entity,Oil & NGL,295.303834,Million bbl/yr,117.76064186165966,0.39877789687505266
8120,1996,Petrobras,State-owned Entity,Natural Gas,311.355699311646,Bcf/yr,22.69483846421073,0.07289039036184378
8121,1997,Petrobras,State-owned Entity,Oil & NGL,317.29745649999995,Million bbl/yr,126.53121238687348,0.3987778968750526
8122,1997,Petrobras,State-owned Entity,Natural Gas,334.119180522006,Bcf/yr,24.354077495628356,0.07289039036184375
8123,1998,Petrobras,State-owned Entity,Oil & NGL,366.562346,Million bbl/yr,146.17696141146533,0.39877789687505255
8124,1998,Petrobras,State-owned Entity,Natural Gas,367.6598682102719,Bcf/yr,26.79887131423075,0.07289039036184376
8125,1999,Petrobras,State-owned Entity,Oil & NGL,413.120067,Million bbl/yr,164.74315147514082,0.3987778968750526
8126,1999,Petrobras,State-owned Entity,Natural Gas,404.58672040248,Bcf/yr,29.490483985354903,0.07289039036184375
8127,2000,Petrobras,State-owned Entity,Oil & NGL,483.26,Million bbl/yr,192.71340644383793,0.3987778968750526
8128,2000,Petrobras,State-owned Entity,Natural Gas,497.561215653,Bcf/yr,36.26743123786069,0.07289039036184375
8129,2001,Petrobras,State-owned Entity,Oil & NGL,503.335,Million bbl/yr,200.71887272360456,0.39877789687505255
8130,2001,Petrobras,State-owned Entity,Natural Gas,529.102685944,Bcf/yr,38.56650131995818,0.07289039036184375
8131,2002,Petrobras,State-owned Entity,Oil & NGL,560.3845,Million bbl/yr,223.4689523513779,0.3987778968750526
8132,2002,Petrobras,State-owned Entity,Natural Gas,566.4226773349001,Bcf/yr,41.28677006074153,0.07289039036184375
8133,2003,Petrobras,State-owned Entity,Oil & NGL,620.865,Million bbl/yr,247.5872389433295,0.39877789687505255
8134,2003,Petrobras,State-owned Entity,Natural Gas,699.5490791189001,Bcf/yr,50.99040545424495,0.07289039036184376
8135,2004,Petrobras,State-owned Entity,Oil & NGL,606.338,Million bbl/yr,241.7941924354256,0.39877789687505255
8136,2004,Petrobras,State-owned Entity,Natural Gas,749.4624568908,Bcf/yr,54.62861104431691,0.07289039036184376
8137,2005,Petrobras,State-owned Entity,Oil & NGL,674.1185,Million bbl/yr,268.82355767456517,0.3987778968750526
8138,2005,Petrobras,State-owned Entity,Natural Gas,771.1470565927,Bcf/yr,56.209209981428714,0.07289039036184375
8139,2006,Petrobras,State-owned Entity,Oil & NGL,700.7635,Million bbl/yr,279.44899473680096,0.3987778968750526
8140,2006,Petrobras,State-owned Entity,Natural Gas,788.2609144208,Bcf/yr,57.456645759116014,0.07289039036184375
8141,2007,Petrobras,State-owned Entity,Oil & NGL,700.1795,Million bbl/yr,279.2161084450259,0.3987778968750526
8142,2007,Petrobras,State-owned Entity,Natural Gas,798.6063104386,Bcf/yr,58.21072571330132,0.07289039036184375
8143,2008,Petrobras,State-owned Entity,Oil & NGL,722.043,Million bbl/yr,287.9347889933536,0.3987778968750526
8144,2008,Petrobras,State-owned Entity,Natural Gas,878.2604460374,Bcf/yr,64.01674675103308,0.07289039036184373
8145,2009,Petrobras,State-owned Entity,Oil & NGL,770.6610000000002,Million bbl/yr,307.32257278362493,0.39877789687505255
8146,2009,Petrobras,State-owned Entity,Natural Gas,861.8361953448001,Bcf/yr,62.819576706648704,0.07289039036184375
8147,2010,Petrobras,State-owned Entity,Oil & NGL,786.6479999999998,Million bbl/yr,313.6978350209663,0.3987778968750526
8148,2010,Petrobras,State-owned Entity,Natural Gas,890.3730409015,Bcf/yr,64.89963851897221,0.07289039036184376
8149,2011,Petrobras,State-owned Entity,Oil & NGL,791.7945000000002,Million bbl/yr,315.75014546723384,0.3987778968750525
8150,2011,Petrobras,State-owned Entity,Natural Gas,939.8198059948,Bcf/yr,68.50383252875324,0.07289039036184375
8151,2012,Petrobras,State-owned Entity,Oil & NGL,775.99,Million bbl/yr,309.44766019607204,0.39877789687505255
8152,2012,Petrobras,State-owned Entity,Natural Gas,981.5416821852,Bcf/yr,71.5449563709,0.07289039036184375
8153,2013,Petrobras,State-owned Entity,Oil & NGL,751.7175,Million bbl/yr,299.76832369417235,0.3987778968750526
8154,2013,Petrobras,State-owned Entity,Natural Gas,997.3884674634,Bcf/yr,72.70003473580833,0.07289039036184376
8155,2014,Petrobras,State-owned Entity,Oil & NGL,784.7135000000002,Million bbl/yr,312.9263991794616,0.39877789687505255
8156,2014,Petrobras,State-owned Entity,Natural Gas,1078.8742511735,Bcf/yr,78.63956531937828,0.07289039036184375
8157,2015,Petrobras,State-owned Entity,Oil & NGL,812.9279999999999,Million bbl/yr,324.17771815084274,0.3987778968750526
8158,2015,Petrobras,State-owned Entity,Natural Gas,1157.8761602105,Bcf/yr,84.3980453084161,0.07289039036184376
8159,2016,Petrobras,State-owned Entity,Oil & NGL,811.8585499999998,Million bbl/yr,323.75124512902966,0.3987778968750526
8160,2016,Petrobras,State-owned Entity,Natural Gas,1170.70904006024,Bcf/yr,85.33343893013026,0.07289039036184373
8161,2017,Petrobras,State-owned Entity,Oil & NGL,809.3583,Million bbl/yr,322.75420069236793,0.39877789687505266
8162,2017,Petrobras,State-owned Entity,Natural Gas,1132.47722046812,Bcf/yr,82.54670667581705,0.07289039036184373
8163,2018,Petrobras,State-owned Entity,Oil & NGL,766.181233455,Million bbl/yr,305.5361409023186,0.3987778968750526
8164,2018,Petrobras,State-owned Entity,Natural Gas,1088.9607222691625,Bcf/yr,79.37477213491456,0.07289039036184375
8165,2019,Petrobras,State-owned Entity,Oil & NGL,822.71,Million bbl/yr,328.07856353807455,0.3987778968750526
8166,2019,Petrobras,State-owned Entity,Natural Gas,1130.04,Bcf/yr,82.36905672449791,0.07289039036184375
8167,2020,Petrobras,State-owned Entity,Oil & NGL,844.61,Million bbl/yr,336.8117994796382,0.3987778968750526
8168,2020,Petrobras,State-owned Entity,Natural Gas,1143.18,Bcf/yr,83.32683645385255,0.07289039036184376
8169,2021,Petrobras,State-owned Entity,Oil & NGL,822.345,Million bbl/yr,327.93300960571514,0.3987778968750526
8170,2021,Petrobras,State-owned Entity,Natural Gas,1140.99,Bcf/yr,83.16720649896011,0.07289039036184376
8171,2022,Petrobras,State-owned Entity,Oil & NGL,795.335,Million bbl/yr,317.16201861111995,0.39877789687505255
8172,2022,Petrobras,State-owned Entity,Natural Gas,1105.95,Bcf/yr,80.61312722068111,0.07289039036184376
8173,1991,PetroEcuador,State-owned Entity,Oil & NGL,109.5,Million bbl/yr,43.66617970781826,0.3987778968750526
8174,1991,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8175,1992,PetroEcuador,State-owned Entity,Oil & NGL,117.2,Million bbl/yr,46.736769513756165,0.3987778968750526
8176,1992,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8177,1993,PetroEcuador,State-owned Entity,Oil & NGL,127.75,Million bbl/yr,50.94387632578796,0.39877789687505255
8178,1993,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8179,1994,PetroEcuador,State-owned Entity,Oil & NGL,138.3,Million bbl/yr,55.15098313781978,0.3987778968750526
8180,1994,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8181,1995,PetroEcuador,State-owned Entity,Oil & NGL,141.6,Million bbl/yr,56.46695019750745,0.39877789687505266
8182,1995,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8183,1996,PetroEcuador,State-owned Entity,Oil & NGL,140.5,Million bbl/yr,56.02829451094489,0.3987778968750526
8184,1996,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8185,1997,PetroEcuador,State-owned Entity,Oil & NGL,141.6,Million bbl/yr,56.46695019750745,0.39877789687505266
8186,1997,PetroEcuador,State-owned Entity,Natural Gas,3.6,Bcf/yr,0.2624054053026375,0.07289039036184375
8187,1998,PetroEcuador,State-owned Entity,Oil & NGL,103.9,Million bbl/yr,41.43302348531797,0.3987778968750526
8188,1998,PetroEcuador,State-owned Entity,Natural Gas,26.9,Bcf/yr,1.9607515007335967,0.07289039036184375
8189,1999,PetroEcuador,State-owned Entity,Oil & NGL,93.6,Million bbl/yr,37.32561114750492,0.3987778968750526
8190,1999,PetroEcuador,State-owned Entity,Natural Gas,25.3,Bcf/yr,1.8441268761546468,0.07289039036184375
8191,2000,PetroEcuador,State-owned Entity,Oil & NGL,94.7,Million bbl/yr,37.764266834067485,0.3987778968750526
8192,2000,PetroEcuador,State-owned Entity,Natural Gas,3.5,Bcf/yr,0.2551163662664531,0.07289039036184375
